Ime jedi,Avtor,Cas priprave,Cas kuhanja,Skupen cas,Dolzina navodil,Stevilo oseb,Energijska vrednost,Beljakovine,Ogljikovi hidrati,Mascobe,Vlaknine,Vitamin D,CSV
Zelenjavna enolončnica z omako pistou,M.J.,15,40,55,1276,4,315.98,1.8,11.0,2.21,1.36,0.0,zelenjavna-enoloncnica-z-omako-pistou
Pecivo z malinami in pudingom,Su.S.,20,40,60,1290,6,1260.01,6.38,60.2,2.67,0.74,0.3,torta-z-malinami-in-pudingom
Polnjeni lignji s pršutom in sirom,Sanja Sirk,15,35,50,1525,3,579.02,15.07,2.62,6.46,0.09,0.0,polnjeni-lignji-s-prsutom-in-sirom
Kumare v omaki,M. J.,10,30,40,1116,4,145.44,0.16,3.97,1.59,0.24,0.0,kumare-v-omaki
Grška krompirjeva musaka,M. J.,20,90,110,2125,6,654.54,7.66,9.0,9.33,1.02,0.04,grska-krompirjeva-musaka
Breskove rezine,Su.S.,35,55,90,836,8,910.4,2.34,30.44,9.15,0.93,0.16,breskove-rezine
Bučkin wrap s tuninim nadevom,Su.S.,25,25,50,886,1,384.47,6.62,3.17,4.97,0.55,0.28,buckin-wrap-s-tuninim-nadevom
Hitri skutini cmoki s sadjem,M. J.,55,10,65,925,4,463.34,5.15,17.01,1.37,0.77,0.09,hitri-skutini-cmoki-s-sadjem
Tiramisu semifreddo,M. J.,40,240,280,1712,10,1307.58,9.39,38.02,12.58,1.55,0.48,tiramisu-semifreddo
Kremna limonina pita brez peke,Su.S.,15,0,15,696,8,1946.77,16.39,34.01,28.68,0.82,5.0,kremna-limonina-pita-brez-peke
Zelenjavna lazanja,Sanja Sirk,30,65,95,2167,6,1112.61,14.11,30.47,8.68,1.34,0.07,socna-zelenjavna-lazanja
Skutina zvezda s špinačo,Sanja Sirk,80,35,115,1940,8,659.61,8.63,24.75,1.38,1.73,0.12,skutina-zvezda-s-spinaco
Jogurtova panakota z jagodičevjem,Kristina Turk,15,20,35,1029,6,470.78,6.36,19.69,0.45,0.61,0.0,jogurtova-panakota-z-jagodicevjem
Polnjeni lignji v paradižnikovi omaki,M. J.,40,20,60,1948,4,485.72,8.18,5.79,5.67,0.58,0.06,polnjeni-kalamari-v-paradiznikovi-omaki
Polnjene paprike brez mesa,Su.S.,30,60,90,1729,4,329.16,1.58,12.9,1.87,1.4,0.0,polnjene-paprike-brez-mesa
Stročji fižol s krompirjem; ocvirki in smetano,M.J.,10,20,30,542,4,346.94,1.51,10.99,3.39,2.14,0.0,strocji-fizol-s-krompirjem-in-ocvirki
Polpeti iz prosene kaše z zelenjavo,M. J.,10,35,45,1365,4,779.27,5.09,22.28,7.64,2.42,0.25,polpeti-iz-prosene-kase-z-zelenjavo
Rolada z bučkami in mletim mesom,Su.S.,20,30,50,778,4,788.81,12.99,1.85,13.48,0.38,0.38,rolada-z-buckami-in-mletim-mesom
Raffaello cheesecake,Su.S.,45,5,50,1415,8,1868.45,5.58,35.72,31.02,2.66,0.09,raffaello-cheesecake
Hitra slivova pita,Su.S.,20,45,65,943,12,1217.13,3.44,40.93,12.04,1.0,0.22,hitra-slivova-pita
Blitva s krompirjem in česnom,M. J.,10,35,45,720,4,213.64,1.06,10.62,0.0,1.59,0.0,blitva-s-krompirjem-in-cesnom-2
Sataraš z rižem,Sanja Sirk,10,40,50,744,4,122.13,0.66,6.11,0.0,0.66,0.0,sataras-z-rizem
Zavitek z vanilijevo kremo in borovnicami,M. J.,15,35,50,1256,6,1130.56,5.11,45.48,6.23,1.02,0.1,zavitek-z-vanilijevo-kremo-in-borovnicami
Sivkin sirup,M. J.,15,10,25,1144,1,785.88,0.0,48.07,0.0,0.05,0.0,sivkin-sirup
Beli fižol z blitvo in sirom,M. J.,10,15,25,469,4,423.34,6.6,9.51,3.53,2.12,0.0,beli-fizol-z-blitvo-in-sirom
Poletna torta z malinami,M.J.,30,10,40,1854,8,1432.06,7.62,25.57,22.79,2.78,0.0,poletna-torta-z-malinami
Lahka musaka z bučkami,M. J.,15,110,125,1871,8,696.38,9.23,5.88,10.96,0.52,0.12,lahka-musaka-z-buckami
Lignji po tržaško s tatarsko omako,M. J.,15,20,35,1564,4,751.61,6.45,10.69,10.96,0.28,0.0,lignji-po-trzasko-s-tatarsko-omako
Jogurtove rezine s sadjem in piškoti (brez peke),Sanja Sirk,30,15,45,1646,6,600.4,9.07,26.41,0.0,1.33,0.0,jogurtove-rezine-s-sadjem-in-piskoti-brez-peke
Vložena zelenjava,Sanja Sirk,50,15,65,1049,10,0.0,0.0,0.0,0.0,0.0,0.0,vlozena-zelenjava
Čokoladni sladoled brez strojčka,Su.S.,10,0,10,378,4,2021.75,24.96,39.23,24.07,1.78,8.92,cokoladni-sladoled-brez-strojcka
Paprike s krompirjem v pečici,Sanja Sirk,15,45,60,825,4,244.26,1.03,12.63,0.0,1.46,0.0,paprike-s-krompirjem-v-pecici
Piščančje kroglice v zelenjavni omaki,M. J.,15,30,45,1212,4,461.87,7.51,6.3,5.76,0.74,0.07,piscancje-kroglice-v-zelenjavni-omaki
Preprosto jogurtovo pecivo z marelicami,M. J.,10,40,50,1123,8,1306.29,5.64,37.57,14.63,0.59,0.2,preprosto-jogurtovo-pecivo-z-marelicami
Stročji fižol z zaseko in kislo smetano,M. J.,10,30,40,548,6,318.95,1.07,5.98,5.25,2.46,0.0,strocji-fizol-z-zaseko-in-kislo-smetano
Poletni krompirjev narastek,M.J.,20,26,46,850,4,338.99,2.97,7.81,3.55,1.29,0.32,poletni-krompirjev-narastek
Marelična marmelada z manj sladkorja,M. J.,20,45,65,1380,5,432.21,0.81,25.25,0.0,1.67,0.0,marelicna-marmelada-z-manj-sladkorja
Sladica v kozarcu z jagodami in rabarbaro,M. J.,20,15,35,1682,5,802.66,3.71,20.77,9.81,1.15,0.0,cheesecake-v-kozarcu-z-jagodami-in-rabarbaro
Bučkine rezine z jogurtom in sirom,M. J.,15,45,60,1105,6,525.3,8.04,7.45,6.08,0.59,0.49,buckine-rezine-z-jogurtom-in-sirom
Klafuti z breskvami in malinami,M. J.,10,55,65,1066,6,672.87,4.2,25.56,3.6,1.68,0.48,klafuti-z-breskvami-in-malinami
Enolončnica s papriko; mletim mesom in rižem,M. J.,10,45,55,1459,6,576.6,5.74,12.86,6.32,0.74,0.0,enoloncnica-s-papriko-mletim-mesom-in-rizem
Krompirjeva solata s čebulo in slanino,Su.S.,10,30,40,733,4,416.6,1.78,13.24,3.63,1.78,0.08,krompirjeva-solata-s-cebulo-in-slanino
Hitra bučkina pita s skuto,Su.S.,10,30,40,720,6,690.07,8.12,16.43,6.41,0.9,0.1,hitra-buckina-pita-s-skuto
Hitro skutino pecivo z borovnicami in drobljencem,Su.S.,20,60,80,1046,8,1030.73,6.09,22.66,14.29,1.16,0.34,hitro-skutino-pecivo-z-borovnicami-in-drobljencem
Poletna zelenjavna mineštra,M. J.,15,30,45,1147,4,202.59,0.86,4.32,2.47,0.74,0.0,poletna-zelenjavna-minestra
Čokoladna torta brez peke,Su.S.,15,0,15,860,6,1856.9,6.02,34.75,30.42,2.37,0.0,cokoladna-torta-brez-peke
Zapečene bučke in krompir,M.J.,15,50,65,1258,4,463.09,4.82,7.34,6.31,1.04,0.27,zapecene-bucke-in-krompir
Najhitreje pripravljeno testo za pico,M.J.,40,0,40,681,4,1591.18,10.01,71.32,4.09,2.25,0.0,najhitreje-pripravljeno-testo-za-pico
Pistacijeva krema s češnjami v kozarcu,Kristina Turk,30,15,45,1254,6,1173.15,5.16,28.84,16.14,1.77,0.17,pistacijeva-krema-v-kozarcu
Tunina jajčna pita brez testa,M.J.,10,35,45,542,6,754.38,17.5,2.55,9.19,0.0,1.55,tunina-pita-z-jajci
Pasticciotto,Su.S.,45,30,75,1365,6,1682.76,6.56,50.14,18.27,0.78,0.47,pasticciotto
Zapečeni njoki v paradižnikovi omaki z mascarponejem,M. J.,10,20,30,1422,4,512.79,5.0,9.01,6.51,1.14,0.0,zapeceni-njoki-v-paradiznikovi-omaki-z-mascarponejem-in-baziliko
Čokoladna torta brez moke s češnjami in smetano,S. S.,30,30,60,1458,8,1355.95,5.34,22.52,23.23,1.6,0.89,cokoladna-torta-brez-moke-s-cesnjami-in-smetano
Hrustljavo pečen mladi krompir,M. J.,10,55,65,1490,5,394.84,1.03,15.01,2.81,1.88,0.0,hrustljavo-pecen-mlad-krompir-s-cesnom-in-rozmarinom
Ražnjiči s svinjino in papriko,M. J.,45,8,53,772,4,668.65,12.1,1.41,10.81,0.24,0.0,raznjici-s-svinjino-in-papriko
Sipin golaž z domačimi rezanci,Sanja Sirk,20,140,160,2066,4,442.71,6.54,15.3,0.83,0.78,0.17,sipin-golaz-z-domacimi-rezanci
Jagodne rezine brez peke,Su.S.,15,5,20,1207,10,1361.85,12.13,25.32,19.11,1.06,3.02,jagodne-rezine-brez-peke
Torta St. Honore (iz MasterChefa),MasterChef,80,40,120,2214,10,1044.03,5.91,28.82,11.55,0.26,0.82,masterchef-torta-st-honore
Opera torta (iz MasterChefa),MasterChef,110,40,150,1552,8,1526.87,4.02,30.95,25.15,1.48,0.42,masterchef-opera-torta
Paris Brest (iz MasterChefa),MasterChef,120,30,150,2086,6,1086.63,4.8,17.51,18.41,0.36,0.83,masterchef-paris-brest
Medena torta medovik (iz MasterChefa),MasterChef,100,30,130,1398,8,1571.18,5.99,52.78,15.01,0.74,0.46,masterchef-medena-torta-medovik
Kvašeni masleni rogljički,M. J.,180,20,200,2032,8,1629.84,9.22,52.61,14.49,2.14,0.33,kvaseni-rogljicki
Polnjene paprike iz pečice,M. J.,15,35,50,1471,4,568.9,6.16,6.82,8.53,0.85,0.0,polnjena-paprika
Mediteranske piščančje kroglice z jogurtovo pomako,M. J.,15,20,35,516,4,668.31,13.5,5.72,7.78,0.34,0.11,mediteranske-piscancje-kroglice
Polpeti iz blitve in krompirja,Su.S.,15,15,30,687,4,327.94,3.5,9.63,2.06,1.19,0.13,polpeti-iz-blitve
Češnjeve kremne rezine,Su.S.,45,15,60,1191,8,1223.36,3.61,46.29,10.17,1.51,0.07,cesnjeve-rezine-brez-peke
Zapečene palačinke z mletim mesom in zelenjavo,M. J.,20,40,60,1892,4,820.61,10.09,11.33,11.06,0.55,0.27,zapecene-palacinke-z-mletim-mesom-in-zelenjavo
Piščančji zrezki v kremni omaki s sušenimi paradižniki,M. J.,5,25,30,1264,4,978.26,15.61,2.09,17.22,0.16,0.0,piscancji-zrezki-v-kremni-omaki-s-susenimi-paradizniki
Hitro pecivo z jagodami,Su.S.,15,15,30,920,10,768.73,1.5,42.74,1.12,0.56,0.19,hitro-pecivo-z-jagodami
Listnati zavitek z marmelado in mascarponejem,M. J.,15,30,45,1476,6,1128.97,4.19,27.09,15.92,0.0,0.28,listnati-zavitek-z-jagodami-in-mascarponejem
Babičino pecivo s sadjem,Sanja Sirk,10,35,45,838,8,381.79,4.16,12.25,2.63,1.31,0.44,biskvit-s-sadjem
Hitre ovsene rezine s skuto in paradižniki,Su.S.,10,45,55,607,2,664.96,12.14,21.9,5.64,4.55,0.43,hitre-ovsene-rezine-s-skuto-in-susenimi-paradizniki
Ocvrte mesne polpete,M.J.,20,15,35,1275,4,933.62,13.02,5.41,15.73,0.26,0.13,ocvrte-mesne-polpete
Špargljeva juha s krompirjem,M. J.,10,25,35,1514,4,297.36,1.44,8.27,3.23,1.8,0.0,spargljeva-juha-s-krompirjem
Krhke košarice z mascarpone kremo in sadjem,M. J.,30,20,50,1778,8,1772.76,4.97,45.5,23.66,0.75,0.15,krhke-kosarice-z-mascarpone-kremo-in-sadjem
Pečene marinirane perutničke,M. J.,5,40,45,1196,4,1022.74,15.75,1.22,18.07,0.12,0.0,v-pecici-pecene-marinirane-perutnicke
Jagodna pita z mrežo,Sanja Sirk,60,60,120,1873,8,1086.0,4.36,28.79,14.27,3.17,0.32,jagodna-pita-z-mrezo
Testenine s paradižnikom in burrato,Su.S.,10,10,20,966,2,924.12,11.06,18.58,10.55,1.03,0.0,testenine-s-paradiznikom-in-burrato
Češnjeva pita z maskarponejevo kremo,M.J.,75,40,115,1181,8,1409.34,5.38,28.4,22.38,1.68,0.17,cesnjeva-pita-z-maskarponejevo-kremo
Langaš z jogurtom,M.J.,270,30,300,1160,4,1069.01,8.51,47.46,1.64,1.49,0.15,langas-z-jogurtom
Bezgov sirup z jagodami,M. J.,30,0,30,1033,10,588.23,0.02,35.84,0.0,0.66,0.0,bezgov-sirup-z-jagodami
Piščančji file v smetanovi omaki s špinačo in suhimi paradižniki,M. J.,5,18,23,1283,4,688.81,16.87,0.46,9.49,0.28,0.0,piscancji-file-v-smetanovi-omaki-s-spinaco-in-suhimi-paradizniki
Jagodna kupola,Su.S.,30,0,30,1016,6,719.69,4.43,20.39,7.58,1.21,0.0,jagodna-kupola
V pečici pečena vratovina s krompirjem,M.J.,10,98,108,932,4,504.8,6.86,9.81,5.24,1.26,0.0,v-pecici-pecena-vratovina-s-krompirjem
Borovničeve cheesecake rezine,M. J.,15,50,65,1844,16,1180.72,4.32,25.78,17.39,0.95,0.12,borovniceve-cheesecake-rezine
Pomladna skleda s šparglji,Su.S.,10,10,20,881,4,794.0,5.38,20.4,9.13,2.85,0.0,pomladna-skleda-s-sparglji
Hitri pita kruhki,Su.S.,20,15,35,601,4,1603.18,8.65,68.52,6.65,1.66,0.0,hitri-pita-kruhki
Clafoutis (klafuti) z jagodami,M. J.,10,40,50,903,6,491.54,3.94,18.09,2.09,1.28,0.46,clafoutis-klafuti-clafouti-z-jagodami
Bezgova panakota z limoninim sirupom,M. J.,10,20,30,1211,6,1374.03,17.71,66.32,0.0,0.0,0.0,bezgova-panakota-z-limoninim-sirupom
Palačinke brez mleka,M. J.,10,0,10,743,4,1019.35,10.88,26.62,8.3,0.57,1.15,palacinke-brez-mleka
Rolada z vanilijevo kremo in jagodami,Kristina Turk,90,15,105,2044,8,1046.75,4.94,30.49,11.42,0.54,0.54,rolada-z-vanilijevo-kremo-in-jagodami
Sofficini,Sanja Sirk,15,25,40,1203,4,1273.74,12.33,24.35,15.61,0.78,0.31,sofficini
Skutin narastek (brez moke),M. J.,10,45,55,1234,8,544.88,9.4,12.62,3.39,0.0,0.42,skutin-narastek
Testenine z morskimi sadeži,Su.S.,5,15,20,744,4,638.81,9.02,25.79,0.3,1.26,0.0,testenine-z-morskimi-sadezi
Krhka torta z malinami,M. J.,40,55,95,1356,8,1528.62,4.86,54.1,13.55,2.06,0.09,krhka-torta-z-malinami
Piščančji gyros,M. J.,30,15,45,1628,4,612.79,6.59,13.86,6.19,0.4,0.0,gyros
Pecivo s piškoti; pudingom in višnjami,Su.S.,30,0,30,1413,8,952.49,3.18,31.92,9.13,0.45,0.62,pecivo-s-piskoti-pudingom-in-visnjami
Golaž s kruhovimi cmoki,Sanja Sirk,15,160,175,2105,4,557.85,9.26,16.71,2.27,1.19,0.05,golaz-s-kruhovimi-cmoki
Testeninska solata,Su.S.,15,10,25,1053,4,479.19,5.34,16.99,2.87,2.71,0.0,testeninska-solata
Tunin namaz z jajci,M.J.,15,10,25,488,4,769.86,16.89,0.59,10.67,0.0,0.59,tunin-namaz-z-jajci
Dušena vratovina v omaki s papriko,M. J.,10,120,130,1578,4,568.81,9.36,4.16,8.47,0.22,0.0,dusena-vratovina-v-omaki-s-papriko
Borovničev tiramisu v kozarcu,M. J.,30,15,45,1246,4,1535.86,11.41,65.71,5.19,3.61,0.0,borovnicev-tiramisu-v-kozarcu
Aperol Spritz,M. J.,5,0,5,232,1,0.0,0.0,0.0,0.0,0.0,0.0,aperol-spritz
Domače lepinje,Su.S.,80,10,90,1659,4,1562.31,11.7,67.3,4.5,2.93,0.0,domace-lepinje
Jagodna panakota,M. J.,30,15,45,1730,4,821.15,5.36,42.47,0.0,0.89,0.0,jagodna-panakota
Donavski valovi,M. J.,25,40,65,2274,15,1559.96,3.41,39.49,22.01,1.14,0.44,donavski-valovi
Špargljeva rižota,M. J.,10,70,80,1998,4,490.83,3.19,9.79,6.99,1.17,0.0,spargljeva-rizota-1
Mesna pita s krompirjem,M. J.,15,50,65,1785,4,780.86,8.46,19.57,7.16,0.76,0.11,hitra-mesna-pita-s-krompirjem
Rižota s piščancem in zelenjavo,M.J.,10,30,40,976,4,706.22,6.87,20.51,5.25,0.61,0.0,piscancja-rizota-z-zelenjavo
Kremna piščančja juha s testeninami,Su.S.,15,35,50,947,4,649.31,5.71,16.64,6.43,1.29,0.0,kremna-piscancja-juha-s-testeninami
Borovničeve ombre rezine,Kristina Turk,30,10,40,1647,10,1385.95,6.77,21.29,24.33,0.99,0.08,borovniceve-ombre-rezine-1
Tortilje z mletim mesom,Su.S.,30,30,60,1238,4,652.24,8.13,10.4,8.65,1.57,0.0,tortilje-z-mletim-mesom
Svinjska ribica v listnatem testu,M.J.,35,50,85,1778,4,705.97,10.75,14.23,6.49,0.68,0.1,svinjska-ribica-v-listnatem-testu-s-spinaco
Italijansko testo za pico,M.J.,150,0,150,1362,4,1462.94,10.28,72.42,0.14,2.32,0.0,italijansko-testo-za-pico
Sočni čokoladni browniji brez bele moke,M. J.,10,25,35,1073,16,1779.25,6.45,39.75,26.5,3.22,0.36,socni-cokoladni-browniji-brez-moke
Piščančja juha z zdrobovimi žličniki,M. J.,10,80,90,2120,4,274.64,5.83,2.49,3.01,0.33,0.03,piscancja-juha
Hitra rižota z morskimi sadeži,Sanja Sirk,10,25,35,1015,4,907.17,7.81,31.32,5.17,0.09,0.0,hitra-rizota-z-morskimi-sadezi
Čokoladna rolada,M. J.,60,12,72,2964,10,1404.44,7.43,43.45,13.71,3.59,0.64,cokoladna-rolada
Pečena prosena kaša z jabolki in skuto,M. J.,15,60,75,1360,6,385.43,3.2,13.84,2.16,1.24,0.16,prosena-kasa-z-jabolki
Testenine z lososovo omako iz pečice,M. J.,5,30,35,1185,2,1041.1,14.16,18.7,12.08,0.78,0.26,testenine-z-lososom-feto-in-spinaco
Jogurtove rezine s kosmiči in sadjem,Su.S.,15,45,60,896,4,875.71,4.18,28.23,9.98,3.5,0.05,jogurtove-rezine
Kardinalove rezine,Sanja Sirk,15,35,50,1444,8,1178.76,5.17,41.74,10.16,0.18,0.45,kardinalove-rezine
Špargljeva kremna juha,M.J.,10,20,30,1138,4,304.72,1.76,5.12,4.8,1.44,0.0,spargljeva-kremna-juha
Jogurtova torta z borovnicami (brez peke),Kristina Turk,199,0,199,1721,10,967.01,8.94,25.82,9.77,1.14,0.08,torta-iz-grskega-jogurta-s-sadjem
Zapečen krompir s šunko in sirom v bešamel omaki,M. J.,20,80,100,824,4,454.13,4.02,13.01,3.8,1.77,0.0,zapecen-hasselback-krompir-s-sunko-in-sirom-v-besamel-omaki
Zrezki v zelenjavni omaki,Sanja Sirk,5,35,40,1175,4,616.14,12.68,1.85,8.9,0.3,0.0,zrezki-v-zelenjavni-omaki
Bučni njoki s hitro sirovo omako,Su.S.,30,10,40,1312,4,607.14,5.94,19.99,3.84,0.43,0.05,hitra-sirova-omaka
Listnati zavitek z mletim mesom,M. J.,10,35,45,1287,3,1001.15,8.73,26.96,9.56,0.64,0.13,listnata-rolada-z-mletim-mesom-1
Špargljevo-bučkina juha s proseno kašo,Sanja Sirk,5,35,40,821,4,209.58,2.23,8.55,0.46,1.95,0.0,spargljevo-buckina-juha-s-proseno-kaso
Bananini mafini,M. J.,15,20,35,1119,12,1089.22,3.94,31.63,12.38,1.13,0.11,bananini-mafini-s-kremnim-nadevom
Zapečene krpice s šunko in sirom,M. J.,10,50,60,1152,4,1144.2,12.47,28.79,10.46,1.42,0.17,zapecene-krpice-s-sunko-in-sirom
Masleni piškoti z regratom,Su.s.,50,20,70,819,4,2040.49,4.67,50.93,28.97,0.93,0.31,masleni-piskoti-z-regratom
Pečen krompir s šparglji in slanino,M.J.,10,40,50,1041,4,281.5,1.37,10.35,1.89,1.84,0.0,pecen-krompir-s-sparglji-in-slanino
Pomladna fokača,Sanja Sirk,100,15,115,736,6,1325.7,8.65,59.76,2.88,2.43,0.0,pomladna-fokaca
Regratov sirup,M.J.,15,25,40,909,10,627.81,0.05,38.39,0.0,0.78,0.0,regratov-sirup
Vanilijeva panakota z jagodnim prelivom,M. J.,30,15,45,1286,8,432.46,1.21,24.06,0.0,1.36,0.0,vanilijeva-panakota-z-jagodnim-prelivom
Orehovo pecivo s kislo smetano,Su.S.,20,25,45,689,6,1307.25,7.14,41.42,13.6,1.24,0.14,orehovo-pecivo-s-kislo-smetano
Hitra koruzna zlevanka s koprivami,Sanja Sirk,10,35,45,1009,4,1184.41,8.64,47.25,4.89,1.33,0.24,hitra-koruzna-zlevanka-s-koprivami
Gorenjska prata,S. M.,15,30,45,951,10,867.59,11.53,20.6,7.52,1.33,0.43,prata
Velikonočna čokoladna krema,Su.s.,20,0,20,662,5,1204.74,8.66,24.44,15.77,2.22,1.11,velikonocna-cokoladna-krema
Slane velikonočne pletenice,M. J.,100,30,130,1357,4,1833.89,8.86,54.19,19.03,2.32,0.15,slane-velikonocne-pletenice
Hren z jajci in bučnim oljem,Su.S.,10,10,20,423,4,551.87,7.53,2.74,9.18,0.96,1.1,hren-z-jajci-in-bucnim-oljem
Polnjena velikonočna jajca (obarvana v pesinem soku),M. J.,75,20,95,1170,6,304.89,3.89,1.37,5.03,0.15,0.61,obarvana-polnjena-jajca
Korenčkova rolada z maskarpone kremo,Su.S.,40,20,60,2069,12,969.64,5.93,22.36,12.11,0.49,0.62,korenckova-rolada-z-macarponejevo-kremo
Kvašeni velikonočni zajčki,Su.S.,90,15,105,1409,10,1217.0,8.29,14.38,20.24,1.46,0.73,velikonocni-zajcki-1
Pisana mehiška rižota,M. J.,10,20,30,1073,4,909.89,9.79,20.62,9.7,1.37,0.0,pisana-mehiska-rizota
Pehtranova pletenica,Sanja Sirk,60,50,110,1467,12,907.22,10.95,33.94,2.51,1.41,0.22,pletenica
Čemaževi njoki s skuto in mandlji,Sanja Sirk,30,40,70,1254,4,885.54,6.58,32.24,5.15,2.36,0.08,krompirjevo-skutini-cemazevi-njoki-z-mandlji
Koruzni njoki s toskansko omako,Su.S.,20,10,30,933,4,1257.12,7.38,38.15,12.66,3.52,0.18,koruzni-njoki-s-toskansko-omako
Svinjski kotleti in krompir iz pečice,M. J.,15,90,105,871,4,600.82,11.92,6.8,6.35,0.9,0.0,svinski-kotleti-in-krompir-iz-pecice
Tiramisu z jagodami,M. J.,30,3,33,1568,8,947.97,5.87,23.41,11.46,1.49,0.27,tiramisu-z-jagodami
Potratna rolada,Kristina Turk,40,15,55,1903,10,1217.17,8.78,25.29,17.07,0.91,0.49,potratna-rolada
Vanilijeva krema za košarice in ladjice,M. J.,30,10,40,1463,12,1387.67,5.21,46.47,12.02,0.0,0.8,vanilijeva-krema-za-kosarice-in-ladjice
Nagubana pita s sirom,Su.S.,15,45,60,417,4,703.96,9.31,21.43,3.49,0.34,0.27,nagubana-pita-s-sirom
Puranji zrezki v naravni omaki,Sanja Sirk,5,20,25,898,4,638.6,22.3,1.29,4.79,0.0,0.0,zrezki-v-naravni-omaki
Nemški velikonočni kolač,M.J.,30,30,60,1636,8,1449.8,6.9,39.74,16.86,0.99,0.66,nemski-velikonocni-kolac
Rižota s pikantno papriko in korenjem,Sanja Sirk,5,30,35,565,4,1416.41,4.78,61.37,6.54,0.25,0.0,pikantna-rizota-s-korenjem
Ajdova rižota z gobami in špinačo,M. J.,10,30,40,1616,2,635.01,5.13,21.1,5.13,3.22,0.0,ajdova-rizota-z-gobami-in-spinaco
Makova roža,Sanja Sirk,0,45,45,1252,12,1693.06,9.65,49.59,18.2,5.5,0.12,makova-roza
Makaronovo meso (makaronflajš),Su.S.,10,40,50,786,4,883.2,9.58,23.09,7.92,1.2,0.33,makaronovo-meso-makaronflajs
Hrustljavo pečen krompir,Su.S.,5,55,60,741,4,288.4,0.93,14.93,0.0,2.0,0.0,hrustljavo-pecen-krompir
Piščančji medaljoni v smetanovi omaki,M. J.,5,16,21,1082,4,916.34,18.07,0.0,15.18,0.0,0.0,piscancji-medaljoni-v-smetanovi-omaki
Pečena prosena kaša z zelenjavo,Su.S.,15,50,65,1233,4,521.7,5.14,11.45,5.78,1.87,0.11,prosena-kasa-z-zelenjavo
Hitro in sočno jabolčno pecivo,M. J.,15,40,55,932,6,1094.07,3.38,30.11,12.84,0.82,0.35,hitro-jabolcno-pecivo
Puranji polpeti z zelišči,M. J.,15,10,25,1045,4,857.01,15.06,0.93,14.87,0.0,0.0,puranji-polpeti-z-zelisci
Svinjski golaž s smetano in papriko,Su.S.,15,20,35,904,4,393.13,11.02,4.54,2.42,0.58,0.0,svinjski-golaz
Svinjski zrezki v smetanovi omaki,M.J.,3,20,23,829,4,699.31,19.01,0.56,8.47,0.19,0.0,svinjski-zrezki-v-smetanovi-omaki
Piščančja juha s palačinkinimi zvitki,M.J.,20,120,140,1485,4,752.58,10.07,5.86,11.88,0.66,0.08,piscancja-juha-s-palacinkinimi-zvitki
Pečena ovsena kaša z jabolki in rozinami,Su.S.,5,40,45,513,4,884.92,5.75,35.43,8.62,4.91,0.24,peceni-kosmici-z-jabolki-in-rozinami
Krhke Nutelline rolice,Sanja Sirk,15,15,30,1271,10,1779.16,6.02,52.3,20.38,1.67,0.17,krhke-nutelline-rolice
Hitro orehovo pecivo z mascarpone kremo,Sanja Sirk,15,30,45,496,8,500.66,3.07,8.44,6.99,0.11,0.74,cudovito-orehovo-pecivo-enostavno
Lazanja s piščancem; gobami in špinačo,M. J.,15,55,70,1510,4,802.03,12.79,11.73,9.6,0.65,0.04,lazanja-s-piscancem-gobami-in-spinaco
Domača kremšnita,Sanja Sirk,40,20,60,1442,12,721.2,4.63,25.58,4.63,0.34,0.79,domaca-kremsnita
Jabolčni narastek z mandlji,M.J.,10,25,35,1289,6,950.31,5.71,23.88,11.42,1.3,0.52,jabolcni-narastek-z-mandlji
Krompirjev narastek z zelenjavo; pršutom in sirom,Su.S.,15,55,70,1493,4,443.55,4.2,11.16,4.2,1.59,0.05,krompirjev-narastek-z-zelenjavo-prsutom-in-sirom
Pohane šnite (ocvrte kruhove rezine),M.J.,10,5,15,706,4,909.85,10.42,28.38,5.21,1.74,0.58,pohane-snite-ocvrte-kruhove-rezine
Zapečene testenine z bolonjsko omako,M. J.,15,75,90,1430,6,765.25,7.6,24.84,5.03,1.81,0.0,zapecene-testenine-z-bolonjsko-omako
Nutelline palčke,Su.S.,20,20,40,834,6,1388.17,6.9,50.85,10.0,1.63,0.08,pecivo-iz-listnatega-testa-z-nutello
Krompirjevi svaljki,Sanja Sirk,30,35,65,900,4,679.31,4.22,20.0,6.21,1.49,0.25,krompirjevi-svaljki-1
Orada v pečici s krompirjem,M. J.,10,40,50,1197,2,310.83,5.18,8.91,1.2,1.25,2.88,orada-v-pecici-s-krompirjem
Cheesecake z jagodami (brez peke),M. J.,150,0,150,1496,12,1242.1,3.53,24.32,20.47,1.03,0.06,cheesecake-z-jagodami-brez-peke
Domača bolonjska omaka,M. J.,10,65,75,1265,4,599.02,6.89,3.49,10.38,0.66,0.0,domaca-bolonjska-omaka
Sirovi tortelini z brokolijem in slanino,M.J.,10,10,20,866,4,1191.23,11.38,29.78,12.12,0.32,0.11,sirovi-tortelini-z-brokolijem-in-slanino
Mongolska govedina,M. J.,10,10,20,1325,4,863.7,16.09,10.77,9.88,0.0,0.0,mongolska-govedina
Palačinke s skuto in rozinami,M.J.,35,20,55,1162,4,995.92,8.18,38.14,3.65,0.88,0.25,palacinke-s-skuto-in-rozinami
Krhko pecivo s pudingovo kremo in jagodami,M. J.,30,50,80,2061,8,1043.2,3.21,32.33,11.04,1.02,0.16,krhko-pecivo-s-pudingovo-kremo-in-jagodami
