Ime jedi,Avtor,Cas priprave,Cas kuhanja,Skupen cas,Dolzina navodil,Stevilo oseb,Energijska vrednost,Beljakovine,Ogljikovi hidrati,Mascobe,Vlaknine,Vitamin D,CSV
Palačinke iz pečice z borovnicami,M. J.,15,18,33,1270,6,923.07,7.06,18.39,11.98,0.82,0.82,napihnjene-palacinke-iz-pecice-z-borovnicami
Pirina solata s tuno in zelenjavo,M. J.,10,30,40,577,1,555.38,10.42,5.06,6.85,0.3,0.89,pirina-solata-s-tuno-in-zelenjavo
Čokoladni mousse s pomarančo,M. J.,20,0,20,1600,4,1234.24,4.53,34.56,14.19,2.67,0.62,cokoladni-mousse-s-pomaranco
Lignji s krompirjem v pečici,M. J.,15,35,50,1054,4,328.78,6.82,9.98,0.42,1.16,0.0,lignji-s-krompirjem-v-pecici
Pečen sladki krompir z zeliščnim maslom,M. J.,15,60,75,1521,4,2306.43,0.0,0.0,60.0,0.0,0.0,pecen-sladki-krompir-z-zeliscnim-maslom
Pečen brokoli s česnom in limono,M.J.,10,25,35,691,4,276.23,1.93,6.46,3.4,1.81,0.0,pecen-brokoli-s-cesnom-in-limono
Zeljna juha s kranjsko klobaso,M.J.,10,30,40,920,4,523.75,4.33,6.04,8.46,1.91,0.0,zeljna-juha-s-kranjsko-klobaso
Torta z mandarinami in kislo smetano,M. J.,50,70,120,1616,8,1141.14,2.94,34.49,13.04,0.53,0.12,torta-z-mandarinami-in-kislo-smetano
Ovsene posodice z grškim jogurtom in sadjem,M. J.,15,12,27,1055,8,815.0,8.91,29.37,8.34,3.98,0.0,ovsene-posodice-z-grskim-jogurtom-in-sadjem-1
Kremni piščančji curry z indijskimi oreščki,M. J.,10,30,40,1331,4,815.96,13.68,4.48,12.69,0.37,0.0,kremni-piscancji-curry-z-indijskimi-orescki
Losos v kremni česnovi omaki s špinačo in paradižniki,M. J.,5,25,30,1612,4,754.0,14.56,2.55,11.64,0.55,0.55,losos-v-kremni-cesnovi-omaki-s-spinaco-in-paradizniki
Torta rdeči žamet malo drugače,Su. S.,20,20,40,1420,8,1193.15,6.67,40.55,9.68,0.65,0.65,torta-rdeci-zamet-malo-drugace
Jagodni tiramisu v kozarcu,Sanja Sirk,30,0,30,989,6,1056.29,4.99,25.22,13.79,1.44,0.26,jagodni-tiramisu-v-kozarcu
