Ime jedi,Cena,Promocijska cena
Tortelini v smetanovi omaki z gobami in šunko,7.119,7.119
Toskanska bučkina pita,8.2675,8.2675
Krompirjeva poletna solata,8.86,8.535
Malinove rezine s pudingom,13.091,13.0885
Hitro pecivo z jagodno marmelado,7.495,7.495
Testenine z rakci in špinačo iz ene ponve,12.1561,12.1561
Tzatziki omaka s feto,8.2225,8.2225
Šakšuka,9.73667,9.73667
Solata s hrustljavim piščancem,8.3007,8.0007
Piščančja stegna v kremni omaki z gobami in špinačo,9.24875,9.24875
Pavlova rolada,4.76219,4.58719
Enolončnica z mletim mesom; papriko in krompirjem,13.2913,13.2913
Puhaste ameriške palačinke,6.395,6.395
Klafuti (clafoutis) s češnjami,7.99479,7.99479
Pisana poletna solata s čičeriko,8.8175,8.8175
Roladna torta z mascarponejem in gozdnimi sadeži,9.4137,9.4137
Naan kruh s česnom,9.28213,9.28213
Omleta z bučkami in panceto,10,10
Čokoladni mousse z jagodami,9.4904,9.4874
Sladke sultanove sarme (paša lokum),8.06067,8.06067
Krhki žepki s kislo smetano in jagodno marmelado,9.66,9.66
Češnjev cheesecake v kozarcu,7.18047,7.18047
Piščančja obara s smetanovimi žličniki,18.3237,18.3237
Testenine s tunino omako s smetano,7.07933,7.07933
Sočni piščančji fileji z zelenjavo iz pečice,10.0913,9.74125
Tofujevi hrustavčki,13.0547,12.2563
Gratinirane testenine s tuno,8.865,8.865
Pražen riž z zelenjavo in jajcem,8.01925,8.01237
Špargljeva juha,6.89933,6.89933
Polnjene bučke z ajdovo kašo,12.6175,12.4175
Kokosov biskvit s kislo smetano,11.4025,11.4025
Cheesecake brez peke z jagodami (iz MasterChef Slovenija),12.2325,11.9692
Nemški cheesecake (iz MasterChef Slovenija),11.0314,11.0314
Newyorški cheesecake (iz MasterChef Slovenja),11.0186,11.0186
Skutina torta s čokoladnim 'pokrovom' (brez testa),6.47667,6.47667
Skutino pecivo z borovnicami,8.6125,8.6125
Lečina palačinka,10,9.315
Piščančji frikase,9.679,9.61
Oopsie kruh,3.1425,3.1425
Kuskus z bučkami in piščancem,9.6975,9.6975
Zapečen mladi krompir s skuto in kislo smetano,8,7.9
Polenta z baziliko,5,4.9725
Hitri zavitki s šparglji in pršutom,6,6
Čokoladna torta z gozdnimi sadeži,14.5119,14.5119
Pica polžki iz kvašenega testa,9.12875,9.12875
Cheesecake z limono in mascarponejem,9.19053,9.19053
Krompirjev narastek z jajci in šunko,6.46175,6.46175
Rigatoni z mesom pečenice in zelenjavno omako,13.499,13.499
Velikonočna čokoladna pletenica,18.5733,18.3233
Potratna potica s čokolado,32.2797,32.2797
Skutini njoki s šparglji,11.8045,11.8045
Pecivo s pudingom in jagodami,12.0869,12.0869
Polpeti iz govedine iz juhe,8.3725,8.3725
Enolončnica s proseno kašo,12.3175,11.9675
Jogurtova torta z borovnicami (brez peke),9.95417,9.95417
Bananini mafini z orehi,7.81125,7.81125
Zelenjavna enolončnica z naanom,18.2088,17.7688
Vanilijeva torta z jagodami,12.799,12.799
Piščančji zrezki v parmezanovi omaki s polentno prilogo,8.712,8.712
Vlivanci s kremno špargljevo omako,11.285,11.285
Dušen regrat z jajci,5,5
Pomladno pecivo z jagodami,7.42213,7.42213
Domače testenine s škampi in sipino čipko,17.79,17.24
Cvetačni njoki z lososom,9.8045,9.8045
Kruhov narastek s šunko in sirom,8,8
Testenine z brokolijevim pestom,7,7
Preprosta jagodna sladica v kozarcu,8.41975,8.386
Špinačni žličniki z zdrobom,10,10
Sočno zdrobovo pecivo z rozinami,9.495,9.495
Palačinke iz pečice z borovnicami,7.31667,7.31667
Pirina solata s tuno in zelenjavo,8,8
Čokoladni mousse s pomarančo,6.0357,6.0357
Lignji s krompirjem v pečici,6.83013,6.83013
Pečen sladki krompir z zeliščnim maslom,5.44,5.44
Pečen brokoli s česnom in limono,7,7
Zeljna juha s kranjsko klobaso,11.4371,11.4371
Torta z mandarinami in kislo smetano,10.1194,10.03
Ovsene posodice z grškim jogurtom in sadjem,8.80875,8.80875
Kremni piščančji curry z indijskimi oreščki,9.69625,9.69625
Losos v kremni česnovi omaki s špinačo in paradižniki,9.13687,9.13687
Torta rdeči žamet malo drugače,12.0957,12.0207
Jagodni tiramisu v kozarcu,6.6395,6.6395
Pica kruhki,7.06025,7.06025
Mousse iz bele čokolade,2.68425,2.388
Čokoladni drip (za dekoriranje tort),2,2
Zdrobovi cmoki,5,5
Mesne kroglice v kremni paradižnikovi omaki,9.70587,9.70587
Toskanska fižolova juha,12.06,11.71
Skutina pita po babičino,12.5242,12.5242
Palačinka iz pečice s pestom in pršutom,9,9
Magično limonino pecivo,6.4983,6.4983
Zimska juha s piščancem,6.60375,6.40125
Brownie s kremnim nadevom in višnjami,12.822,12.822
Krompirjeve ladjice,9,9
Veganske bananine palačinke s kosmiči,5.8744,5.8744
Ledene kocke,13.145,13.145
Mehka svinjska vratovina iz pečice,13.27,13.27
Pražena svinjska jetra s čebulo,5.3725,5.3725
Krostata z rikoto,13.4767,13.4767
Piščanec z bulgurjem in zelenjavo,8.54137,8.19138
Domač čokoladni puding,8.42933,8.42933
Pečena začinjena cvetača z jogurtovo omako,8.5725,8.4
Nadevane piščančje prsi s pršutom,7,7
Ajdova kaša z mlekom,4.435,4.435
Testenine z lečo in korenčkom,8.60875,8.52125
Prekajena rebra s kislim zeljem,8.2625,8.2625
Piščanec z garam masalo in arašidovim maslom,9.279,9.279
Hitra limonina sladica (brez kuhanja in peke),3.4995,3.4995
Topla cvetačna solata,7.745,7.4875
Ajdovo pecivo z marmelado in mascarponejevo kremo,11.7075,11.7075
Kljukuša,11.5147,11.4993
Palmiers piškoti (slonovo uho),3,3
Pečen piščanec v smetanovi omaki s papriko,7.69708,7.22208
Pirine palačinke,6.11,6.11
V pečici pečena svinjina z omako,8.6515,8.6515
Pečena polenta s paradižnikovo omako in mocarelo,5.29667,5.29667
Svinjska pečenka s pisano prilogo iz enega pekača,8.3725,8.3725
Topel kremni namaz s feto in špinačo,7,7
Lečin bolognese,10.735,10.56
Solata iz rdečega zelja z jabolki in orehi,8.92,8.76
Kruhki s pečenim brijem,11.055,11.055
Preprosta zimska enolončnica,9.74225,9.74225
